,year,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
328,2001,29,m1x,予選E組,6,石井一基(明治大学),123.12,256.51,394.94,536.86,5,
329,2001,29,m1x,予選E組,1,影井大嗣(小樽商科大学A),125.32,262.53,402.94,542.44,6,
330,2001,30,m1x,予選F組,2,内田裕毅(東京外国語大学),114.97,235.5,362.62,492.48,1,->Semi-Final
331,2001,30,m1x,予選F組,1,館和夫(早稲田大学A),119.17,247.92,382.28,510.84,2,
332,2001,30,m1x,予選F組,6,中岡道春(徳島大学B),120.26,248.18,381.77,518.11,3,
333,2001,30,m1x,予選F組,3,松島康弘(東京大学),123.28,253.68,390.29,520.41,4,
334,2001,30,m1x,予選F組,5,山口良(学習院大学B),125.12,257.47,394.1,531.32,5,
335,2001,30,m1x,予選F組,4,神裕章(東京漕艇倶楽部B),119.79,255.83,399.34,543.48,6,
336,2001,31,m1x,予選G組,5,吉田康史(大沢野工業高校),114.25,233.7,356.34,479.45,1,->Semi-Final
337,2001,31,m1x,予選G組,4,多田敏男(早稲田大学B),114.73,239.38,366.0,488.7,2,
338,2001,31,m1x,予選G組,1,佐藤晃啓(東海大学),118.73,242.69,365.67,488.91,3,
339,2001,31,m1x,予選G組,6,佐々木幸太(東北大学),116.56,244.77,378.24,508.96,4,
340,2001,31,m1x,予選G組,2,宮田祐次(慶応義塾大学C),115.16,242.01,379.8,519.41,5,
341,2001,31,m1x,予選G組,3,緑川健太(慶應義塾大学E),122.98,256.66,398.56,536.74,6,
342,2001,32,m1x,予選H組,4,犬飼祥正(北海道大学D),113.48,231.55,355.94,483.0,1,->Semi-Final
343,2001,32,m1x,予選H組,3,三原充浩(岐阜経済大学A),114.66,235.79,360.04,484.19,2,
344,2001,32,m1x,予選H組,2,岡崎公輔(千葉大学),117.4,242.14,372.45,500.13,3,
345,2001,32,m1x,予選H組,1,吉村和樹(早稲田大学C),119.06,241.85,370.94,501.39,4,
346,2001,32,m1x,予選H組,5,福田周一(北海道大学E),134.57,273.52,424.98,568.98,5,
348,2001,33,m1x,予選I組,5,磯谷大介(岐阜経済大学B),111.45,229.17,355.06,482.44,1,->Semi-Final
349,2001,33,m1x,予選I組,4,中村洋太郎(同志社大学),119.48,242.39,369.58,495.15,2,
350,2001,33,m1x,予選I組,2,川原充史(東京農業大学),124.54,254.62,391.44,520.21,3,
351,2001,33,m1x,予選I組,3,佐藤崇(石巻専修大学),122.64,254.97,393.64,535.74,4,
352,2001,33,m1x,予選I組,1,市原幸一(千葉大学B),126.3,261.87,404.05,547.02,5,
354,2001,34,m1x,予選J組,1,三塚和彦(日本体育大学C),108.41,224.44,342.4,461.8,1,->Semi-Final
