,year,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
237,2000,24,m2x,予選F組,5,愛知工業大学,120.85,250.44,380.61,508.92,4.0,
238,2000,24,m2x,予選F組,1,大同工業大学,135.47,274.64,414.9,552.92,5.0,
239,2000,24,m2x,予選F組,6,創価大学,133.91,280.64,430.58,583.79,6.0,
240,2000,25,m2x,予選G組,3,茨城大学,108.62,217.91,333.16,452.96,1.0,->Semi-Final
241,2000,25,m2x,予選G組,4,東北学院大学,106.68,218.11,336.07,456.31,2.0,
242,2000,25,m2x,予選G組,1,神戸大学,111.42,229.01,352.96,472.86,3.0,
243,2000,25,m2x,予選G組,5,富山国際大学,113.55,231.5,354.98,479.16,4.0,
244,2000,25,m2x,予選G組,2,広島修道大学,115.12,234.35,363.43,491.58,5.0,
246,2000,26,m2x,予選H組,5,東京医科歯科大学,112.13,195.75,344.95,458.22,1.0,->Semi-Final
247,2000,26,m2x,予選H組,2,香川大学,112.48,199.29,352.16,467.35,2.0,
248,2000,26,m2x,予選H組,4,龍谷大学,115.7,202.75,352.93,467.91,3.0,
249,2000,26,m2x,予選H組,3,追手門学院大学,114.87,204.07,357.48,473.26,4.0,
250,2000,26,m2x,予選H組,1,東京農業大学,123.23,224.81,393.86,523.16,5.0,
252,2000,78,m2x,敗復A組,4,金沢大学,107.3,219.04,328.76,437.58,1.0,->Semi-Final
253,2000,78,m2x,敗復A組,2,新潟大学,109.74,222.82,335.78,445.11,2.0,
254,2000,78,m2x,敗復A組,3,龍谷大学,108.57,221.09,334.54,445.75,3.0,
255,2000,78,m2x,敗復A組,5,鳥取大学,111.57,228.1,346.54,466.83,4.0,
258,2000,79,m2x,敗復B組,4,一橋大学,104.16,213.3,325.66,438.5,1.0,->Semi-Final
259,2000,79,m2x,敗復B組,3,香川大学,108.36,221.24,333.64,446.34,2.0,
260,2000,79,m2x,敗復B組,5,広島修道大学,112.31,228.18,342.25,453.4,3.0,
261,2000,79,m2x,敗復B組,2,東京大学,111.24,230.09,348.91,461.88,4.0,
264,2000,80,m2x,敗復C組,3,日本医科大学,106.06,212.56,321.2,432.1,1.0,->Semi-Final
265,2000,80,m2x,敗復C組,4,立教大学,103.84,212.29,324.47,436.86,2.0,
266,2000,80,m2x,敗復C組,5,甲南大学,109.31,222.86,338.12,454.5,3.0,
267,2000,80,m2x,敗復C組,2,成城大学,110.46,223.79,343.9,469.43,4.0,
268,2000,80,m2x,敗復C組,1,創価大学,139.77,262.18,416.52,552.46,5.0,
270,2000,81,m2x,敗復D組,4,神戸大学,107.55,218.37,329.85,440.25,1.0,->Semi-Final
271,2000,81,m2x,敗復D組,3,鹿屋体育大学,115.16,226.13,336.79,444.87,2.0,
272,2000,81,m2x,敗復D組,2,静岡産業大学,109.42,221.46,334.88,446.18,3.0,
273,2000,81,m2x,敗復D組,5,京都大学,112.32,224.93,342.14,458.94,4.0,
274,2000,81,m2x,敗復D組,1,大同工業大学,126.12,254.47,390.69,520.45,5.0,
276,2000,82,m2x,敗復E組,3,東北学院大学,105.34,214.12,322.64,432.66,1.0,->Semi-Final
277,2000,82,m2x,敗復E組,2,東北大学,112.28,222.12,340.0,451.46,2.0,
278,2000,82,m2x,敗復E組,4,追手門学院大学,112.26,228.58,343.24,454.74,3.0,
279,2000,82,m2x,敗復E組,5,石巻専修大学,113.3,230.8,347.39,461.18,4.0,
280,2000,82,m2x,敗復E組,1,名古屋大学,123.9,250.77,384.55,515.56,5.0,
282,2000,83,m2x,敗復F組,4,慶應義塾大学,107.68,220.56,332.51,447.04,1.0,->Semi-Final
283,2000,83,m2x,敗復F組,2,東京都立大学,110.72,225.39,338.22,453.48,2.0,
284,2000,83,m2x,敗復F組,5,島根大学,113.92,233.28,352.01,470.82,3.0,
285,2000,83,m2x,敗復F組,1,東京外国語大学,118.86,241.71,361.82,488.65,4.0,
288,2000,84,m2x,敗復G組,3,兵庫大学,106.28,219.41,335.49,450.92,1.0,->Semi-Final
289,2000,84,m2x,敗復G組,4,青山学院大学,113.45,227.4,344.19,461.2,2.0,
290,2000,84,m2x,敗復G組,2,富山国際大学,111.9,224.63,345.02,465.58,3.0,
291,2000,84,m2x,敗復G組,5,中京大学,119.84,240.14,375.44,502.75,4.0,
292,2000,84,m2x,敗復G組,1,東京農業大学,118.48,241.59,372.66,502.93,5.0,
294,2000,85,m2x,敗復H組,3,立命館大学,103.39,213.84,327.67,442.05,1.0,->Semi-Final
295,2000,85,m2x,敗復H組,4,静岡大学,111.86,228.15,347.66,469.7,2.0,
296,2000,85,m2x,敗復H組,2,弘前大学,115.97,236.78,360.72,490.07,3.0,
297,2000,85,m2x,敗復H組,5,愛知工業大学,120.12,249.28,384.9,514.67,4.0,
298,2000,85,m2x,敗復H組,1,徳島大学,120.97,249.46,391.54,536.11,5.0,
300,2000,137,m2x,準決A組,4,茨城大学,103.96,209.95,319.88,424.78,1.0,->Final A
301,2000,137,m2x,準決A組,5,兵庫大学,101.11,209.64,321.39,425.7,2.0,->Final B
302,2000,137,m2x,準決A組,3,北海道大学,104.29,212.44,322.97,427.02,3.0,
303,2000,137,m2x,準決A組,2,日本医科大学,107.49,218.06,329.04,439.94,4.0,
306,2000,138,m2x,準決B組,3,明治大学,98.5,202.95,315.44,428.06,1.0,->Final A
307,2000,138,m2x,準決B組,2,東北学院大学,103.56,213.55,327.77,436.83,2.0,->Final B
308,2000,138,m2x,準決B組,4,東京医科歯科大学,103.91,214.74,329.21,440.16,3.0,
309,2000,138,m2x,準決B組,5,慶應義塾大学,104.18,216.16,331.55,443.61,4.0,
312,2000,139,m2x,準決C組,3,日本体育大学,98.85,207.48,316.74,419.54,1.0,->Final A
313,2000,139,m2x,準決C組,5,立命館大学,100.96,208.78,318.6,422.25,2.0,->Final B
314,2000,139,m2x,準決C組,4,松山大学,104.25,220.18,339.45,452.85,3.0,
315,2000,139,m2x,準決C組,2,金沢大学,108.8,226.08,345.45,458.14,4.0,
318,2000,140,m2x,準決D組,3,日本大学,99.65,205.54,313.23,423.66,1.0,->Final A
319,2000,140,m2x,準決D組,4,東京経済大学,107.7,218.94,328.0,436.47,2.0,->Final B
320,2000,140,m2x,準決D組,2,一橋大学,106.22,217.46,329.65,445.62,3.0,
321,2000,140,m2x,準決D組,5,神戸大学,110.59,225.88,338.47,451.18,4.0,
324,2000,172,m2x,順決,3,立命館大学,102.95,205.64,313.5,417.66,1.0,
325,2000,172,m2x,順決,5,東北学院大学,102.71,206.77,317.96,428.26,2.0,
326,2000,172,m2x,順決,2,東京経済大学,107.48,215.45,326.49,433.63,3.0,
327,2000,172,m2x,順決,4,兵庫大学,104.98,213.07,326.0,435.26,4.0,
330,2000,173,m2x,決勝,4,日本大学,96.36,198.14,301.94,406.64,1.0,
331,2000,173,m2x,決勝,5,明治大学,99.24,201.49,305.34,407.74,2.0,
332,2000,173,m2x,決勝,3,日本体育大学,99.84,204.14,306.94,411.68,3.0,
333,2000,173,m2x,決勝,2,茨城大学,104.18,212.7,324.54,438.98,4.0,
336,2000,13,w2x,予選A組,3,立教大学,127.85,258.28,393.17,524.98,1.0,->Semi-Final
337,2000,13,w2x,予選A組,5,岡山大学,124.91,256.3,396.43,530.46,2.0,
338,2000,13,w2x,予選A組,2,日本医科大学,129.88,261.55,399.0,536.98,3.0,
339,2000,13,w2x,予選A組,1,愛媛大学,149.06,280.03,417.33,552.13,4.0,
340,2000,13,w2x,予選A組,4,静岡大学,129.1,266.85,414.7,561.17,5.0,
342,2000,14,w2x,予選B組,2,東京商船大学,126.76,252.51,383.91,516.67,1.0,->Semi-Final
343,2000,14,w2x,予選B組,5,日本女子体育大学,127.8,256.34,390.8,525.91,2.0,
344,2000,14,w2x,予選B組,4,千葉大学,125.9,258.24,398.52,537.67,3.0,
345,2000,14,w2x,予選B組,3,南山大学,133.51,267.41,408.44,549.06,4.0,
346,2000,14,w2x,予選B組,1,学習院大学,144.89,280.88,425.69,568.84,5.0,
348,2000,15,w2x,予選C組,4,早稲田大学,118.53,241.7,365.07,486.74,1.0,->Semi-Final
349,2000,15,w2x,予選C組,2,共立女子大学,126.44,253.78,380.97,503.27,2.0,
350,2000,15,w2x,予選C組,1,神戸大学,120.13,248.49,377.96,503.29,3.0,
351,2000,15,w2x,予選C組,5,東海大学,124.78,254.33,385.0,519.23,4.0,
352,2000,15,w2x,予選C組,3,山口大学,137.26,286.5,437.2,585.48,5.0,
354,2000,16,w2x,予選D組,2,龍谷大学,114.94,235.39,362.61,492.74,1.0,->Semi-Final
355,2000,16,w2x,予選D組,5,慶應義塾大学,119.66,244.5,375.28,508.36,2.0,
356,2000,16,w2x,予選D組,1,一橋大学,122.06,251.94,387.48,521.43,3.0,
357,2000,16,w2x,予選D組,4,北海道大学,134.06,265.27,407.1,577.1,4.0,
358,2000,16,w2x,予選D組,3,島根大学,143.74,291.04,445.4,594.87,5.0,
360,2000,17,w2x,予選E組,5,日本体育大学,116.15,241.28,371.4,496.23,1.0,->Semi-Final
361,2000,17,w2x,予選E組,2,東京経済大学,122.48,250.77,381.56,506.09,2.0,
362,2000,17,w2x,予選E組,3,鹿屋体育大学,128.45,260.92,396.61,525.27,3.0,
363,2000,17,w2x,予選E組,4,北里大学医学部,133.86,272.38,414.08,551.49,4.0,
364,2000,17,w2x,予選E組,1,神戸商船大学,137.02,280.12,427.57,568.66,5.0,
366,2000,18,w2x,予選F組,2,東北大学,120.63,245.18,371.84,497.63,1.0,->Semi-Final
367,2000,18,w2x,予選F組,5,滋賀大学経済学部,128.27,257.62,390.44,521.42,2.0,
368,2000,18,w2x,予選F組,3,明治大学,126.12,258.53,390.01,522.32,3.0,
369,2000,18,w2x,予選F組,4,静岡産業大学,131.78,265.65,402.69,537.22,4.0,
372,2000,73,w2x,敗復A組,3,東海大学,121.14,243.4,364.97,486.24,1.0,->Semi-Final
373,2000,73,w2x,敗復A組,4,滋賀大学経済学部,121.47,244.04,367.74,490.01,2.0,->Semi-Final
374,2000,73,w2x,敗復A組,5,北里大学医学部,123.45,249.98,372.33,496.0,3.0,
375,2000,73,w2x,敗復A組,2,南山大学,127.64,256.11,388.07,519.89,4.0,
378,2000,74,w2x,敗復B組,3,慶應義塾大学,115.0,233.06,352.54,472.52,1.0,->Semi-Final
