year,nace_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,500m(s),1000m(s),1500m(s),2000m(s),order,qualify
2012,79,w2x,敗復F組,2,東北大学A,02:04.38,04:12.45,06:26.95,08:37.86,124.38,252.45,386.95,517.86,3,
2012,79,w2x,敗復F組,5,一橋大学C,02:12.32,04:29.13,06:50.01,09:10.05,132.32,269.13,410.01,550.05,4,
2012,79,w2x,敗復F組,1,今治西高校C,02:14.02,04:35.52,07:01.87,09:22.16,134.02,275.52,421.87,562.16,5,
2012,80,w2x,敗復G組,3,明治大学A,01:57.46,04:02.29,06:09.02,08:16.34,117.46000000000001,242.29,369.02,496.34,1,→Semi-Final
2012,80,w2x,敗復G組,2,トヨタ自動車,01:56.03,04:03.38,06:17.03,08:29.68,116.03,243.38,377.03,509.68,2,
2012,80,w2x,敗復G組,4,東京経済大学C,01:59.47,04:10.70,06:22.60,08:33.26,119.47,250.7,382.6,513.26,3,
2012,80,w2x,敗復G組,5,金沢大学,02:14.03,04:36.89,06:56.45,09:16.70,134.03,276.89,416.45,556.7,4,
2012,80,w2x,敗復G組,1,学習院大学A,02:17.23,04:43.68,07:07.85,09:33.28,137.23,283.68,427.85,573.28,5,
2012,81,w2x,敗復H組,3,大垣共立銀行,01:52.76,03:58.29,06:01.45,08:03.65,112.75999999999999,238.29,361.45,483.65,1,→Semi-Final
2012,81,w2x,敗復H組,4,中央大学,02:03.18,04:13.00,06:21.80,08:29.43,123.18,253.0,381.8,509.43,2,
2012,81,w2x,敗復H組,2,鹿屋体育大学,02:04.61,04:20.13,06:34.06,08:43.94,124.61,260.13,394.06,523.94,3,
2012,81,w2x,敗復H組,5,新潟大学,02:14.55,04:37.79,07:00.60,09:18.68,134.55,277.79,420.6,558.68,4,
2012,81,w2x,敗復H組,1,名古屋大学B,02:14.80,04:46.07,07:14.27,09:36.90,134.8,286.07,434.27,576.9,5,
2012,105,w2x,準決A組,3,関西電力小浜,01:45.37,03:38.50,05:32.87,07:28.24,105.37,218.5,332.87,448.24,1,→Final A
2012,105,w2x,準決A組,5,立命館大学,01:49.90,03:45.50,05:42.39,07:39.63,109.9,225.5,342.39,459.63,2,→Final B
2012,105,w2x,準決A組,2,東京経済大学A,01:50.71,03:47.94,05:48.74,07:46.92,110.71000000000001,227.94,348.74,466.92,3,
2012,105,w2x,準決A組,4,明治大学B,01:54.82,03:53.73,05:54.01,07:51.28,114.82,233.73,354.01,471.28,4,
2012,106,w2x,準決B組,3,岐阜経済大学,01:45.31,03:41.12,05:39.88,07:38.31,105.31,221.12,339.88,458.31,1,→Final A
2012,106,w2x,準決B組,2,龍谷大学A,01:48.03,03:46.07,05:45.13,07:43.05,108.03,226.07,345.13,463.05,2,→Final B
2012,106,w2x,準決B組,5,明治大学A,01:52.99,03:50.02,05:48.68,07:45.72,112.99000000000001,230.02,348.68,465.72,3,
2012,106,w2x,準決B組,4,東京経済大学B,01:50.89,03:46.33,05:45.52,07:46.26,110.89,226.32999999999998,345.52,466.26,4,
2012,107,w2x,準決C組,3,日本体育大学,01:49.32,03:45.27,05:41.47,07:35.58,109.32,225.27,341.47,455.58,1,→Final A
2012,107,w2x,準決C組,4,熊本学園大学付属高校,01:48.11,03:43.07,05:41.06,07:37.07,108.11,223.07,341.06,457.07,2,→Final B
2012,107,w2x,準決C組,5,法政大学,01:50.90,03:49.12,05:49.06,07:48.48,110.9,229.12,349.06,468.48,3,
2012,107,w2x,準決C組,2,早稲田大学,01:55.48,03:54.99,05:53.47,07:52.38,115.47999999999999,234.99,353.47,472.38,4,
2012,108,w2x,準決D組,2,大垣共立銀行,01:46.48,03:40.99,05:37.92,07:34.80,106.47999999999999,220.99,337.92,454.8,1,→Final A
2012,108,w2x,準決D組,5,今治西高校B,01:51.61,03:47.80,05:43.94,07:36.82,111.61,227.8,343.94,456.82,2,→Final B
2012,108,w2x,準決D組,3,仙台大学,01:46.10,03:44.43,05:42.66,07:39.33,106.1,224.43,342.65999999999997,459.33,3,
2012,108,w2x,準決D組,4,立教大学,01:53.00,03:51.08,05:47.97,07:43.14,113.0,231.07999999999998,347.97,463.14,4,
2012,123,w2x,順決,4,熊本学園大学付属高校,01:50.07,03:46.40,05:43.23,07:38.26,110.07,226.4,343.23,458.26,1,
2012,123,w2x,順決,5,龍谷大学A,01:49.90,03:47.50,05:45.50,07:39.40,109.9,227.5,345.5,459.4,2,
