year,boat_type,section_code,race_number,order,team,500m,1000m,1500m,2000m,lane,qualify
2000,m2x,準決A組,137,3,北海道大学,01:44.29,03:32.44,05:22.97,07:07.02,3,
2000,m2x,準決A組,137,4,日本医科大学,01:47.49,03:38.06,05:29.04,07:19.94,2,
2000,m2x,準決B組,138,1,明治大学,01:38.50,03:22.95,05:15.44,07:08.06,3,->Final A
2000,m2x,準決B組,138,2,東北学院大学,01:43.56,03:33.55,05:27.77,07:16.83,2,->Final B
2000,m2x,準決B組,138,3,東京医科歯科大学,01:43.91,03:34.74,05:29.21,07:20.16,4,
2000,m2x,準決B組,138,4,慶應義塾大学,01:44.18,03:36.16,05:31.55,07:23.61,5,
2000,m2x,準決C組,139,1,日本体育大学,01:38.85,03:27.48,05:16.74,06:59.54,3,->Final A
2000,m2x,準決C組,139,2,立命館大学,01:40.96,03:28.78,05:18.60,07:02.25,5,->Final B
2000,m2x,準決C組,139,3,松山大学,01:44.25,03:40.18,05:39.45,07:32.85,4,
2000,m2x,準決C組,139,4,金沢大学,01:48.80,03:46.08,05:45.45,07:38.14,2,
2000,m2x,準決D組,140,1,日本大学,01:39.65,03:25.54,05:13.23,07:03.66,3,->Final A
2000,m2x,準決D組,140,2,東京経済大学,01:47.70,03:38.94,05:28.00,07:16.47,4,->Final B
2000,m2x,準決D組,140,3,一橋大学,01:46.22,03:37.46,05:29.65,07:25.62,2,
2000,m2x,準決D組,140,4,神戸大学,01:50.59,03:45.88,05:38.47,07:31.18,5,
2000,m2x,順決,172,1,立命館大学,01:42.95,03:25.64,05:13.50,06:57.66,3,
2000,m2x,順決,172,2,東北学院大学,01:42.71,03:26.77,05:17.96,07:08.26,5,
2000,m2x,順決,172,3,東京経済大学,01:47.48,03:35.45,05:26.49,07:13.63,2,
2000,m2x,順決,172,4,兵庫大学,01:44.98,03:33.07,05:26.00,07:15.26,4,
2000,m2x,決勝,173,1,日本大学,01:36.36,03:18.14,05:01.94,06:46.64,4,
2000,m2x,決勝,173,2,明治大学,01:39.24,03:21.49,05:05.34,06:47.74,5,
2000,m2x,決勝,173,3,日本体育大学,01:39.84,03:24.14,05:06.94,06:51.68,3,
2000,m2x,決勝,173,4,茨城大学,01:44.18,03:32.70,05:24.54,07:18.98,2,
2000,w2x,予選A組,13,1,立教大学,02:07.85,04:18.28,06:33.17,08:44.98,3,->Semi-Final
2000,w2x,予選A組,13,2,岡山大学,02:04.91,04:16.30,06:36.43,08:50.46,5,
2000,w2x,予選A組,13,3,日本医科大学,02:09.88,04:21.55,06:39.00,08:56.98,2,
2000,w2x,予選A組,13,4,愛媛大学,02:29.06,04:40.03,06:57.33,09:12.13,1,
2000,w2x,予選A組,13,5,静岡大学,02:09.10,04:26.85,06:54.70,09:21.17,4,
2000,w2x,予選B組,14,1,東京商船大学,02:06.76,04:12.51,06:23.91,08:36.67,2,->Semi-Final
2000,w2x,予選B組,14,2,日本女子体育大学,02:07.80,04:16.34,06:30.80,08:45.91,5,
2000,w2x,予選B組,14,3,千葉大学,02:05.90,04:18.24,06:38.52,08:57.67,4,
2000,w2x,予選B組,14,4,南山大学,02:13.51,04:27.41,06:48.44,09:09.06,3,
2000,w2x,予選B組,14,5,学習院大学,02:24.89,04:40.88,07:05.69,09:28.84,1,
2000,w2x,予選C組,15,1,早稲田大学,01:58.53,04:01.70,06:05.07,08:06.74,4,->Semi-Final
2000,w2x,予選C組,15,2,共立女子大学,02:06.44,04:13.78,06:20.97,08:23.27,2,
