,year,tournament_name,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
164,2015,全日本大学選手権大会,40,m2x,予選F組,1,東京外国語大学,01:40.09,03:27.20,05:18.44,07:07.83,3,1
165,2015,全日本大学選手権大会,40,m2x,予選F組,2,慶應義塾大学,01:49.54,03:33.34,05:26.86,07:20.99,4,2
166,2015,全日本大学選手権大会,40,m2x,予選F組,4,東京工業大学,01:49.25,03:44.78,05:39.21,07:30.94,5,4
167,2015,全日本大学選手権大会,40,m2x,予選F組,6,,,,,,,6
168,2015,全日本大学選手権大会,41,m2x,予選G組,2,中央大学,01:42.90,03:30.61,05:18.31,07:05.22,1,2
169,2015,全日本大学選手権大会,41,m2x,予選G組,3,京都大学,01:40.93,03:29.39,05:19.87,07:11.15,2,3
170,2015,全日本大学選手権大会,41,m2x,予選G組,5,慶應義塾大学医学部,01:47.89,03:39.37,05:31.20,07:24.32,3,5
171,2015,全日本大学選手権大会,41,m2x,予選G組,4,新潟大学,01:51.80,03:49.28,05:47.66,07:43.80,4,4
172,2015,全日本大学選手権大会,41,m2x,予選G組,1,名古屋工業大学,02:00.70,04:02.09,06:05.79,08:06.05,5,1
173,2015,全日本大学選手権大会,41,m2x,予選G組,6,,,,,,,6
174,2015,全日本大学選手権大会,42,m2x,予選H組,3,日本大学,01:36.55,03:20.84,05:06.57,06:52.63,1,3
175,2015,全日本大学選手権大会,42,m2x,予選H組,5,日本医科大学,01:45.60,03:34.97,05:24.35,07:15.56,2,5
176,2015,全日本大学選手権大会,42,m2x,予選H組,2,立教大学,01:45.03,03:35.70,05:29.74,07:25.15,3,2
177,2015,全日本大学選手権大会,42,m2x,予選H組,1,岡山大学,01:50.61,03:44.54,05:40.01,07:37.13,4,1
178,2015,全日本大学選手権大会,42,m2x,予選H組,4,愛知教育大学,01:57.80,03:59.36,06:05.25,08:09.20,5,4
179,2015,全日本大学選手権大会,42,m2x,予選H組,6,,,,,,,6
180,2015,全日本大学選手権大会,103,m2x,敗復A組,4,慶應義塾大学,01:44.10,03:36.59,05:33.96,07:34.85,1,4
181,2015,全日本大学選手権大会,103,m2x,敗復A組,3,熊本大学,01:49.27,03:45.32,05:41.74,07:40.86,2,3
182,2015,全日本大学選手権大会,103,m2x,敗復A組,5,広島工業大学,01:46.48,03:50.47,05:55.75,07:59.76,3,5
183,2015,全日本大学選手権大会,103,m2x,敗復A組,2,新潟大学,01:53.30,03:56.85,06:00.56,08:02.20,4,2
184,2015,全日本大学選手権大会,103,m2x,敗復A組,1,,,,,,,1
185,2015,全日本大学選手権大会,103,m2x,敗復A組,6,,,,,,,6
186,2015,全日本大学選手権大会,104,m2x,敗復B組,4,岐阜経済大学,01:48.30,03:41.01,05:35.38,07:28.66,1,4
187,2015,全日本大学選手権大会,104,m2x,敗復B組,3,日本医科大学,01:50.80,03:44.00,05:37.18,07:31.68,2,3
188,2015,全日本大学選手権大会,104,m2x,敗復B組,2,広島大学,01:51.74,03:52.96,05:55.81,07:57.08,3,2
189,2015,全日本大学選手権大会,104,m2x,敗復B組,5,名古屋大学,02:02.86,04:11.09,06:17.87,08:23.86,4,5
190,2015,全日本大学選手権大会,104,m2x,敗復B組,1,,,,,,,1
191,2015,全日本大学選手権大会,104,m2x,敗復B組,6,,,,,,,6
