,year,tournament_name,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
215,2011,全日本大学選手権大会,101,m2x,敗復F組,6,,,,,,,
216,2011,全日本大学選手権大会,102,m2x,敗復G組,3,東京外国語大学,01:42.30,03:30.44,05:24.84,07:17.27,1,→Semi-Final
217,2011,全日本大学選手権大会,102,m2x,敗復G組,4,中央大学,01:45.87,03:42.84,05:40.67,07:36.42,2,
218,2011,全日本大学選手権大会,102,m2x,敗復G組,2,東京工業大学,01:52.42,03:47.90,05:46.96,07:43.32,3,
219,2011,全日本大学選手権大会,102,m2x,敗復G組,5,大阪府立大学,01:56.03,03:54.59,06:00.64,08:06.33,4,
220,2011,全日本大学選手権大会,102,m2x,敗復G組,1,金沢大学,01:54.38,03:58.40,06:08.08,08:14.22,5,
221,2011,全日本大学選手権大会,102,m2x,敗復G組,6,,,,,,,
222,2011,全日本大学選手権大会,103,m2x,敗復H組,3,明治大学,01:42.76,03:34.53,05:30.64,07:23.49,1,→Semi-Final
223,2011,全日本大学選手権大会,103,m2x,敗復H組,4,大阪大学,01:49.04,03:43.36,05:40.99,07:35.24,2,
224,2011,全日本大学選手権大会,103,m2x,敗復H組,5,名古屋工業大学,01:46.72,03:40.68,05:38.78,07:35.30,3,
225,2011,全日本大学選手権大会,103,m2x,敗復H組,2,大阪市立大学,01:48.54,03:44.87,05:47.24,07:49.76,4,
226,2011,全日本大学選手権大会,103,m2x,敗復H組,1,広島大学,01:58.75,04:04.28,06:16.49,08:25.22,5,
227,2011,全日本大学選手権大会,103,m2x,敗復H組,6,,,,,,,
228,2011,全日本大学選手権大会,152,m2x,準決A組,3,東京経済大学,01:43.82,03:36.46,05:29.34,07:22.58,1,→Final A
229,2011,全日本大学選手権大会,152,m2x,準決A組,2,仙台大学,01:47.58,03:41.86,05:34.76,07:27.42,2,→Final B
230,2011,全日本大学選手権大会,152,m2x,準決A組,5,日本大学,01:47.13,03:43.35,05:43.63,07:38.91,3,
231,2011,全日本大学選手権大会,152,m2x,準決A組,4,茨城大学,01:51.52,03:54.38,05:53.02,07:52.10,4,
232,2011,全日本大学選手権大会,152,m2x,準決A組,1,,,,,,,
233,2011,全日本大学選手権大会,152,m2x,準決A組,6,,,,,,,
234,2011,全日本大学選手権大会,153,m2x,準決B組,3,立命館大学,01:41.68,03:30.79,05:22.54,07:14.73,1,→Final A
235,2011,全日本大学選手権大会,153,m2x,準決B組,5,筑波大学,01:45.44,03:36.74,05:32.29,07:24.27,2,→Final B
236,2011,全日本大学選手権大会,153,m2x,準決B組,4,東北大学,01:45.73,03:38.72,05:34.18,07:26.96,3,
